id,name,description,category,muscles,equipment,category_name,equipment_names
186,,,11,[4],[3],Chest,['Dumbbell']
1457,,,11,"[2, 4, 5]",[],Chest,[]
1548,,,15,"[11, 7, 8, 10]",[7],Cardio,['none (bodyweight exercise)']
1635,,,12,[12],[9],Back,['Incline bench']
501,,,8,[5],[],Arms,[]
1105,,,10,[6],[7],Abs,['none (bodyweight exercise)']
177,,,15,"[14, 9]",[7],Cardio,['none (bodyweight exercise)']
1679,,,13,[9],[],Shoulders,[]
545,,,10,[6],[],Abs,[]
182,,,8,[],[],Arms,[]
985,,,8,[],[7],Arms,['none (bodyweight exercise)']
1737,,,12,[],[],Back,[]
977,,,10,"[8, 10, 15]",[7],Abs,['none (bodyweight exercise)']
1231,,,8,[5],[7],Arms,['none (bodyweight exercise)']
1276,,,11,[4],[3],Chest,['Dumbbell']
1117,,,12,[],[],Back,[]
1710,,,13,[12],[8],Shoulders,['Bench']
145,,,10,[14],[],Abs,[]
1549,,,15,"[11, 7, 8, 10]",[7],Cardio,['none (bodyweight exercise)']
1706,,,9,"[8, 10]",[3],Legs,['Dumbbell']
1762,,,11,[],[],Chest,[]
